,Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
4,Kellen Hatheway,Legends,0.452,12.0,42.0,15.0,19.0,4.0,3.0,3.0,11.0,2.0,15.0,2.0,2.0,0.0,0.0,38.0,0.5,0.905,9.0,46.0,0.6216886531387774,18.27189821388776,11.768862654477525,280.35563891643034,0.06503067484662578,11.83389332932415,1.860132625994695,13.694025955318844,1.1288177074789993
0,Jose Holguin,Hard Knocks,0.455,12.0,44.0,6.0,20.0,9.0,0.0,1.0,17.0,5.0,5.0,1.0,2.0,0.0,0.0,32.0,0.52,0.727,10.0,50.0,0.5718616771304308,17.57702767418938,10.508510761786951,248.11835447372414,-0.012269938650306733,10.496240823136644,2.0218832891246685,12.518124112261312,1.0318864743243716
5,Cody Stevens,Legends,0.442,12.0,43.0,11.0,19.0,3.0,0.0,1.0,7.0,4.0,6.0,2.0,2.0,0.0,0.0,25.0,0.51,0.581,15.0,49.0,0.5161661825599608,14.723836793766608,7.796690219612228,212.0842290966457,-0.14110429447852757,7.655585925133701,1.9814456233421753,9.637031548475877,0.7943939857385821
0,George Aceves,Legends,0.583,7.0,24.0,6.0,14.0,4.0,1.0,0.0,8.0,2.0,2.0,0.0,2.0,0.0,1.0,20.0,0.593,0.833,9.0,27.0,0.6416942863677115,11.219948127807248,7.402948995109936,293.2989748465412,0.1165644171779141,7.51951341228785,1.091816976127321,8.61133038841517,0.709844004904891
6,Andrew Gerety,Legends,0.437,10.0,32.0,6.0,14.0,5.0,0.0,0.0,6.0,4.0,5.0,0.0,4.0,0.0,0.0,19.0,0.5,0.594,9.0,36.0,0.5155788455576134,10.798130669041196,5.708798492111448,211.70423112114682,0.4650306748466258,6.1738291669580745,1.4557559681697614,7.629585135127836,0.6289173709288715
8,Brian Holman,Legends,0.4,11.0,35.0,11.0,14.0,3.0,0.0,0.0,6.0,5.0,8.0,1.0,4.0,0.0,0.0,17.0,0.488,0.486,11.0,41.0,0.4726600003411877,10.684841408684534,4.888657540514542,183.93640068000934,0.3619631901840491,5.250620730698591,1.6579442970822282,6.908565027780819,0.5694826752975551
3,Maximino Pecina,Coyotes,0.345,8.0,29.0,5.0,10.0,4.0,0.0,3.0,11.0,2.0,8.0,1.0,0.0,0.0,0.0,23.0,0.406,0.793,3.0,32.0,0.5285324058057863,9.978308616823757,5.4544577928862035,220.08498467512797,-0.15460122699386503,5.2998565658923384,1.294005305039788,6.593861870932127,0.5435412540376979
7,Dylan Plunkett,Guapos,0.26,15.0,50.0,11.0,13.0,3.0,0.0,1.0,9.0,10.0,18.0,4.0,0.0,0.0,0.0,19.0,0.422,0.38,9.0,64.0,0.40535763487427756,12.730380290132008,3.682678642256899,140.39280897457837,-0.592638036809816,3.090040605447083,2.588010610079576,5.678051215526659,0.46804970115962613
1,Jake Sahagian,Legends,0.5,4.0,16.0,8.0,8.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,13.0,0.529,0.812,5.0,17.0,0.6098342511927194,6.567927354868681,4.164631604651856,272.6860238193948,0.245398773006135,4.410030377657991,0.6874403183023874,5.097470695960379,0.42019163712191154
4,Paul Galloway,Hard Knocks,0.346,9.0,26.0,8.0,9.0,2.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,11.0,0.485,0.423,7.0,33.0,0.4545073080093865,8.050876598961473,3.3856554367758696,172.19188891186232,-0.16073619631901842,3.224919240456851,1.3344429708222814,4.559362211279133,0.37583460230725546
3,Fernando Hernandez,Guapos,0.31,10.0,29.0,6.0,9.0,3.0,0.0,0.0,3.0,6.0,9.0,0.0,4.0,0.0,0.0,12.0,0.429,0.414,6.0,35.0,0.41688030597983866,7.331611586043951,2.383649747362251,147.84779933778046,0.49079754601227,2.874447293374521,1.415318302387268,4.289765595761789,0.35361137632058476
2,Fabian De La Barcena,Hard Knocks,0.385,8.0,26.0,3.0,10.0,3.0,0.0,1.0,9.0,1.0,5.0,0.0,1.0,0.0,0.0,16.0,0.407,0.615,6.0,27.0,0.46940647281721937,6.9558343516963905,3.13883521899908,181.8314185872817,0.019631901840490795,3.1584671208395707,1.091816976127321,4.250284096966892,0.35035686116902115
0,Nick Salerno,Guapos,0.474,6.0,19.0,5.0,9.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.545,0.526,8.0,22.0,0.5186161579406076,6.660109959437794,3.5499625179807257,213.6693253547511,-0.2834355828220859,3.2665269351586397,0.8896286472148542,4.1561555823734935,0.342597716093759
7,Charlie Greene,Hard Knocks,0.333,10.0,36.0,11.0,12.0,4.0,0.0,0.0,5.0,2.0,5.0,3.0,1.0,0.0,1.0,16.0,0.405,0.444,8.0,42.0,0.4060087507158564,8.379379968808903,2.441825762390865,140.8140708746907,-0.13496932515337423,2.3068564372374905,1.6983819628647217,4.005238400102212,0.33015740173576774
12,Alexander Delk,Legends,0.32,8.0,25.0,6.0,8.0,1.0,0.0,2.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,15.0,0.393,0.6,5.0,28.0,0.4536500849154859,6.809044801411882,2.8506753304665224,171.6372788005784,-0.20613496932515338,2.644540361141369,1.1322546419098145,3.776795003051183,0.3113264930906955
10,Derek Chance,Legends,0.333,13.0,45.0,9.0,15.0,4.0,0.0,0.0,10.0,2.0,7.0,1.0,3.0,0.0,1.0,19.0,0.367,0.422,11.0,49.0,0.3740320877178701,8.339661420640148,1.4125148464857677,120.125663446113,0.23926380368098166,1.6517786501667495,1.9814456233421753,3.633224273508925,0.2994917571035016
1,DaJohn Murray,Coyotes,0.391,10.0,23.0,4.0,9.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,14.0,0.4,0.609,4.0,25.0,0.45488464649236443,6.1077962593551804,2.573537803153967,172.43602108646795,-0.12883435582822086,2.444703447325746,1.0109416445623343,3.45564509188808,0.2848536568583811
11,Matthew Polites,Legends,0.333,5.0,12.0,5.0,4.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,7.0,0.467,0.583,1.0,15.0,0.49336764370712294,4.193817774888651,2.073262701167923,197.333926333863,0.4969325153374234,2.5701952165053465,0.6065649867374006,3.176760203242747,0.26186478553023185
1,Jesse Martinez,Hard Knocks,0.429,6.0,14.0,2.0,6.0,2.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,8.0,0.5,0.571,4.0,16.0,0.5078651650125493,4.686035459861992,2.424110047893215,206.7135988622327,-0.15460122699386503,2.26950882089935,0.647002652519894,2.916511473419244,0.24041211883219743
7,Kyle Henke,Legends,0.409,8.0,22.0,5.0,9.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,10.0,0.458,0.455,8.0,24.0,0.4420691713745937,5.581544591746911,2.1886564737937455,164.14460648063684,-0.25766871165644173,1.9309877621373037,0.970503978779841,2.9014917409171446,0.23917402128036808
3,Mitchell Miller,Hard Knocks,0.375,6.0,16.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,6.0,0.5,0.375,6.0,21.0,0.4472032107057702,4.982681552188279,2.013904448979259,167.46625068861474,-0.25766871165644173,1.756235737322817,0.8491909814323608,2.6054267187551776,0.21476896752393174
4,Gabriel Tiscareno,Coyotes,0.333,11.0,39.0,6.0,13.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,0.0,0.0,13.0,0.381,0.333,13.0,42.0,0.35359952823842733,6.361629450468158,0.42407524405011715,106.90611282114688,0.3877300613496933,0.8118053053998104,1.6983819628647217,2.510187268264532,0.2069182464492683
13,Kyle Aube,Legends,0.219,12.0,32.0,7.0,7.0,2.0,0.0,1.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,12.0,0.375,0.375,4.0,40.0,0.3752357362907054,6.852020555539803,1.19720702561786,120.90440549550102,-0.30920245398773005,0.8880045716301299,1.6175066312997348,2.5055112029298647,0.20653279184531734
6,Alex Gutierrez,Hard Knocks,0.333,12.0,45.0,6.0,15.0,1.0,0.0,0.0,6.0,3.0,13.0,0.0,3.0,0.0,1.0,16.0,0.367,0.356,14.0,49.0,0.35014664885390556,7.266809542693104,0.3396629685387251,104.67215315145833,0.16196319018404914,0.5016261587227742,1.9814456233421753,2.4830717820649495,0.20468307900699373
2,Kevin Biederman,Guapos,0.333,10.0,36.0,3.0,12.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,1.0,0.0,0.0,14.0,0.368,0.389,10.0,38.0,0.3651121012450016,6.156780368350042,0.7847075149241969,114.35456987015958,-0.10920245398773004,0.6755050609364668,1.5366312997347482,2.2121363606712148,0.18234949337991646
5,David Mair,Hard Knocks,0.345,8.0,29.0,3.0,10.0,1.0,0.0,0.0,5.0,2.0,6.0,1.0,1.0,0.0,1.0,11.0,0.394,0.379,9.0,33.0,0.3747685670674087,5.638785121161983,0.9735639589763807,120.6021542183661,-0.10920245398773004,0.8643615049886506,1.3344429708222814,2.198804475810932,0.18125052746927325
9,Jobe Lowen,Legends,0.357,7.0,14.0,1.0,5.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,0.471,0.429,4.0,17.0,0.44578391297463993,4.011482011969875,1.6081862617530498,166.54798696216122,-0.18036809815950922,1.4278181635935405,0.6874403183023874,2.115258481895928,0.17436371437078052
9,Jessey Melendez,Hard Knocks,0.321,8.0,28.0,9.0,9.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,0.0,0.0,9.0,0.387,0.321,9.0,31.0,0.3554822978028857,4.74899031847272,0.366509832783215,108.12423567049153,0.49079754601227,0.857307378795485,1.2535676392572945,2.1108750180527798,0.17400237931691218
6,Joshua Weiss,Coyotes,0.294,6.0,17.0,4.0,5.0,2.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,0.0,0.0,7.0,0.4,0.412,3.0,20.0,0.3984358825667028,3.851345334328982,1.0239385693680108,135.91454206261756,0.045398773006134985,1.0693373423741457,0.8087533156498674,1.878090658024013,0.15481363902373518
8,Zach Brandt,Guapos,0.229,15.0,48.0,8.0,11.0,4.0,0.0,0.0,4.0,8.0,12.0,0.0,2.0,0.0,0.0,15.0,0.339,0.312,7.0,56.0,0.33029655429514315,7.28595596723321,-0.63078297465751,91.82944834034868,0.013496932515337456,-0.6172860421421725,2.264509283819629,1.6472232416774566,0.1357829150786927
7,Glenn Morris,Coyotes,0.263,7.0,19.0,1.0,5.0,2.0,0.0,0.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,7.0,0.391,0.368,3.0,23.0,0.3812098315250394,4.065865376787123,0.8143475970820058,124.76955290731226,-0.18036809815950922,0.6339794989224965,0.9300663129973475,1.564045811919844,0.12892648323904693
4,DJ Alexander,Guapos,0.308,8.0,26.0,6.0,8.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,11.0,0.333,0.423,5.0,27.0,0.3567681397883838,4.168041891577565,0.3510427588802534,108.95615558929077,0.045398773006134985,0.39644153188638837,1.091816976127321,1.4882585080137094,0.1226792298067494
11,Joel Castellon,Hard Knocks,0.25,10.0,28.0,4.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,1.0,0.0,7.0,0.382,0.25,7.0,35.0,0.338353612939311,4.8122191951604005,-0.13574264352129872,97.04224092964998,0.06503067484662578,-0.07071196867467294,1.415318302387268,1.344606333712595,0.110837780214201
2,Ricky Ramirez,Coyotes,0.357,5.0,14.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.357,0.429,4.0,14.0,0.3699590945300564,2.330490444444956,0.35130570897227636,117.49049971659504,0.2969325153374233,0.6482382243096997,0.5661273209549073,1.214365545264607,0.10010184991029994
13,Pool Players,Coyotes,0.19,5.0,21.0,3.0,4.0,2.0,0.0,2.0,5.0,1.0,10.0,0.0,1.0,0.0,0.0,12.0,0.227,0.571,0.0,22.0,0.34825335594854806,3.224467861551283,0.11432042009421446,103.4472218629703,0.17423312883435585,0.2885535489285703,0.8896286472148542,1.1781821961434247,0.09711920584805314
14,Kasim Hussain,Legends,0.211,9.0,19.0,3.0,4.0,3.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,7.0,0.348,0.368,1.0,23.0,0.3566079910101088,3.547177741470071,0.2956599617649539,108.85254180149965,-0.12883435582822086,0.16682560593673304,0.9300663129973475,1.0968919189340807,0.09041833463171496
1,David Vaks,Guapos,0.364,4.0,11.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.417,0.364,4.0,12.0,0.38592702631896736,2.1732100919500756,0.47676603297349307,127.82150513331199,0.07116564417177915,0.5479316771452722,0.4852519893899205,1.0331836665351928,0.08516677430496723
20,Silverio Moreno,Legends,0.125,6.0,16.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,7.0,0.3,0.437,0.0,20.0,0.34967724603663897,2.957439012379865,0.1300322474188934,104.36845677349842,-0.10306748466257669,0.02696476275631672,0.8087533156498674,0.8357180784061842,0.06888940976476034
16,Malcolm Smith,Hard Knocks,0.143,6.0,21.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,7.0,0.28,0.333,1.0,25.0,0.3034661657601412,2.637797228952439,-0.8964612272487748,74.4706010611902,0.6711656441717792,-0.2252955830769956,1.0109416445623343,0.7856460614853387,0.06476190339564286
5,Robert Reeves,Guapos,0.306,13.0,49.0,8.0,15.0,2.0,0.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,17.0,0.32,0.347,13.0,50.0,0.3189557240240062,5.985530945142927,-1.0829859672595012,84.49210619046879,-0.16073619631901842,-1.2437221635785196,2.0218832891246685,0.7781611255461489,0.06414490966019419
0,Navari Julius,Coyotes,0.5,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.5,2.0,4.0,0.4789036192655611,1.0653167698658386,0.49983541687364424,187.9759257594196,-0.051533742331288344,0.4483016745423559,0.1617506631299735,0.6100523376723295,0.05028746721383365
10,Christopher Galarza-Gomez,Hard Knocks,0.3,13.0,40.0,7.0,12.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,12.0,0.349,0.3,12.0,43.0,0.32310169645308895,5.310976657798994,-0.7679478868670943,87.17448636271865,-0.38650306748466257,-1.154450954351757,1.738819628647215,0.5843686742954581,0.0481703269289139
6,Aaron Preski,Guapos,0.283,15.0,53.0,5.0,15.0,2.0,0.0,0.0,5.0,3.0,18.0,0.0,1.0,0.0,0.0,17.0,0.321,0.321,13.0,56.0,0.31334958793940265,6.41601365473722,-1.5007252871535002,80.86502266941366,-0.21226993865030674,-1.712995225803807,2.264509283819629,0.551514058015822,0.04546207496927186
8,Joseph Cordova,Hard Knocks,0.333,3.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.4,0.333,3.0,10.0,0.36725301893352164,1.6398303946781505,0.226127012197665,115.73971057148731,-0.10306748466257669,0.12305952753508832,0.4043766578249337,0.527436185360022,0.04347730225882328
